# /dev/cpu_dma_latency set to 0us
# Histogram
000000 000000	000000	000000	000000	000000	000000	000000	000000
000001 000000	000000	000000	000000	000000	000000	000000	000000
000002 000000	000000	000000	000000	000000	000000	000000	000000
000003 591739	451155	518862	990588	609029	274874	406206	509618
000004 1019602	1152630	1084156	635409	999646	1312717	1195707	1062419
000005 065491	069893	070813	062027	065811	076943	068883	103185
000006 054239	054618	054054	053567	055526	056069	054916	055118
000007 041700	042692	042061	036662	042171	045654	043338	042357
000008 014199	015087	016412	010540	014570	018210	016160	015236
000009 006161	006233	006045	005151	006179	006851	006412	005258
000010 004152	004449	004223	003704	004272	004888	004806	003797
000011 002227	002605	002630	001924	002238	002792	002861	002401
000012 000219	000363	000443	000138	000252	000506	000384	000338
000013 000024	000020	000032	000019	000020	000097	000027	000024
000014 000006	000009	000005	000011	000013	000104	000014	000015
000015 000007	000006	000012	000007	000006	000042	000006	000006
000016 000005	000004	000004	000009	000008	000006	000008	000007
000017 000008	000006	000010	000005	000003	000003	000005	000007
000018 000002	000004	000004	000005	000004	000003	000005	000003
000019 000007	000004	000003	000004	000005	000005	000002	000003
000020 000006	000007	000003	000005	000003	000002	000007	000003
000021 000003	000005	000002	000001	000004	000005	000003	000000
000022 000002	000003	000004	000002	000006	000003	000001	000002
000023 000002	000004	000000	000002	000002	000004	000003	000001
000024 000003	000002	000003	000008	000004	000001	000004	000004
000025 000004	000003	000007	000005	000000	000004	000001	000001
000026 000001	000005	000005	000004	000002	000003	000007	000002
000027 000002	000002	000000	000002	000001	000003	000005	000003
000028 000002	000002	000005	000002	000003	000003	000003	000000
000029 000002	000005	000004	000000	000006	000004	000005	000005
000030 000003	000003	000009	000000	000004	000008	000005	000004
000031 000003	000001	000002	000006	000006	000011	000004	000003
000032 000001	000003	000003	000004	000002	000002	000003	000004
000033 000002	000003	000005	000005	000003	000004	000001	000002
000034 000002	000003	000007	000001	000004	000003	000003	000001
000035 000002	000001	000005	000009	000004	000004	000005	000002
000036 000003	000003	000002	000003	000001	000004	000006	000004
000037 000002	000002	000002	000007	000003	000005	000006	000003
000038 000001	000002	000002	000003	000003	000003	000006	000007
000039 000002	000003	000003	000004	000002	000003	000007	000002
000040 000005	000002	000004	000001	000004	000004	000005	000001
000041 000001	000002	000004	000000	000001	000003	000001	000001
000042 000003	000003	000006	000003	000003	000003	000010	000005
000043 000005	000001	000002	000003	000001	000005	000001	000006
000044 000003	000007	000003	000001	000004	000005	000001	000004
000045 000001	000004	000002	000002	000004	000003	000006	000002
000046 000002	000004	000001	000004	000003	000001	000004	000003
000047 000003	000002	000003	000003	000001	000003	000004	000003
000048 000003	000003	000000	000004	000002	000002	000003	000002
000049 000005	000002	000002	000000	000002	000001	000004	000002
000050 000004	000003	000004	000003	000003	000002	000001	000002
000051 000002	000001	000001	000005	000003	000005	000005	000002
000052 000003	000002	000001	000002	000002	000001	000003	000001
000053 000002	000001	000000	000002	000003	000000	000001	000001
000054 000000	000001	000000	000003	000001	000003	000002	000001
000055 000004	000003	000000	000000	000005	000001	000004	000001
000056 000002	000002	000004	000002	000002	000001	000002	000001
000057 000004	000000	000005	000001	000002	000001	000000	000002
000058 000002	000002	000001	000001	000001	000000	000001	000002
000059 000001	000001	000001	000002	000007	000002	000000	000002
000060 000001	000004	000001	000001	000001	000004	000001	000001
000061 000003	000002	000000	000003	000003	000006	000003	000003
000062 000002	000004	000005	000001	000002	000002	000000	000007
000063 000001	000001	000003	000003	000001	000002	000001	000002
000064 000000	000002	000001	000001	000003	000001	000002	000006
000065 000001	000002	000003	000003	000003	000002	000003	000003
000066 000004	000001	000003	000001	000004	000001	000005	000005
000067 000003	000000	000003	000001	000004	000000	000003	000002
000068 000001	000002	000004	000002	000000	000002	000000	000002
000069 000000	000001	000000	000003	000003	000002	000003	000003
