# /dev/cpu_dma_latency set to 0us
# Histogram
000000 000000	000000	000000	000000	000000	000000	000000	000000
000001 000000	000000	000000	000000	000000	000000	000000	000000
000002 000000	000000	000000	000000	000000	000000	000000	000000
000003 000000	000000	000000	000000	000000	000000	000000	000000
000004 000000	000000	000000	000000	000000	000000	000000	000000
000005 002066	000984	004847	007420	006390	006134	003496	005438
000006 520551	028831	472596	197815	140346	047118	056679	067426
000007 14282282	6448534	14490091	11105917	7955081	5149857	7428227	9538832
000008 10940254	17932623	10743153	13498107	14704533	11792494	16473441	15807466
000009 1098524	2728295	1159451	2134108	3858540	9664576	2948421	1466193
000010 820221	768381	781981	880391	1044169	1484898	918629	874224
000011 658215	376027	580791	627671	684657	343513	602232	632527
000012 261071	267085	292880	200149	255967	144884	220640	210642
000013 108800	112885	133041	074600	081195	085847	072699	092947
000014 069288	074554	086490	048432	042407	054555	045359	065301
000015 033298	046402	045521	022430	020445	023480	025002	033954
000016 004386	014016	008021	002259	004655	001936	004172	004180
000017 000414	000768	000533	000213	001011	000292	000458	000346
000018 000188	000198	000206	000110	000261	000137	000178	000154
000019 000069	000068	000055	000031	000072	000039	000078	000061
000020 000023	000019	000026	000010	000026	000014	000022	000023
000021 000014	000008	000019	000006	000014	000014	000014	000022
000022 000009	000007	000021	000005	000004	000008	000006	000007
000023 000003	000002	000007	000004	000002	000002	000005	000008
000024 000003	000000	000002	000000	000002	000002	000000	000002
000025 000002	000002	000000	000001	000004	000003	000000	000003
000026 000003	000000	000002	000000	000000	000001	000000	000000
000027 000001	000001	000003	000002	000001	000000	000001	000001
000028 000001	000002	000000	000001	000001	000002	000002	000001
000029 000001	000000	000002	000001	000001	000000	000002	000001
000030 000001	000001	000000	000001	000001	000000	000002	000000
000031 000002	000000	000000	000000	000002	000000	000000	000002
000032 000001	000000	000001	000000	000000	000002	000000	000000
000033 000000	000000	000000	000001	000001	000001	000001	000001
000034 000000	000000	000001	000001	000000	000000	000000	000000
000035 000000	000000	000000	000000	000000	000000	000000	000000
000036 000001	000002	000001	000001	000001	000000	000000	000000
000037 000000	000000	000000	000002	000001	000000	000001	000000
000038 000001	000000	000002	000000	000000	000000	000000	000001
000039 000002	000000	000000	000000	000000	000000	000000	000000
000040 000001	000000	000002	000000	000001	000000	000001	000001
000041 000003	000001	000000	000000	000000	000001	000000	000001
000042 000001	000001	000002	000001	000000	000000	000000	000000
000043 000000	000001	000003	000000	000000	000002	000001	000000
000044 000000	000002	000000	000001	000001	000000	000000	000001
000045 000001	000001	000001	000000	000000	000001	000000	000002
000046 000000	000002	000001	000001	000000	000000	000000	000001
000047 000000	000001	000001	000001	000002	000002	000000	000000
000048 000000	000000	000000	000001	000001	000000	000002	000001
000049 000001	000001	000002	000002	000002	000000	000000	000002
000050 000001	000000	000000	000000	000001	000000	000001	000002
000051 000002	000000	000000	000000	000001	000000	000001	000000
000052 000002	000000	000000	000000	000000	000000	000000	000001
000053 000000	000000	000001	000001	000001	000000	000000	000001
000054 000001	000001	000000	000000	000000	000000	000002	000000
000055 000000	000003	000000	000000	000000	000000	000001	000000
000056 000000	000002	000001	000001	000001	000000	000001	000001
000057 000000	000000	000002	000002	000001	000003	000000	000000
000058 000001	000000	000001	000000	000000	000000	000003	000000
000059 000000	000001	000000	000001	000001	000001	000000	000000
000060 000000	000000	000000	000000	000001	000000	000001	000000
000061 000000	000000	000000	000001	000001	000001	000001	000000
000062 000001	000000	000000	000001	000001	000001	000001	000000
000063 000000	000001	000001	000001	000000	000000	000001	000001
000064 000000	000000	000000	000001	000000	000000	000000	000001
000065 000001	000000	000001	000000	000001	000000	000001	000000
000066 000000	000000	000000	000000	000000	000000	000000	000000
000067 000000	000001	000000	000000	000001	000000	000000	000000
000068 000001	000000	000000	000000	000000	000000	000000	000001
