# /dev/cpu_dma_latency set to 0us
# Histogram
000000 000000	000000	000000	000000	000000	000000	000000	000000
000001 000000	000000	000000	000000	000000	000000	000000	000000
000002 000000	000000	000000	000000	000000	000000	000000	000000
000003 000008	000000	000061	000012	000000	000000	000000	000006
000004 006571	006065	014754	040392	005353	016464	004087	006173
000005 1331283	1071668	1305870	1514155	1320163	1360108	1266442	1388880
000006 318615	411973	334626	114485	324451	280169	374865	260923
000007 061250	207453	061562	053456	061177	059026	063743	057544
000008 043365	053371	043289	041388	044075	042843	043923	042589
000009 027980	032664	027940	025155	030046	027522	030311	028803
000010 006011	010077	006247	005278	007516	006930	008444	006972
000011 002637	003789	002726	003017	003671	003507	004043	004171
000012 001502	001788	002003	001777	002279	002339	002637	002602
000013 000672	000886	000813	000750	001144	000993	001387	001212
000014 000040	000151	000046	000037	000043	000026	000056	000043
000015 000017	000047	000008	000028	000023	000014	000012	000023
000016 000015	000019	000008	000019	000014	000007	000011	000010
000017 000005	000010	000011	000009	000009	000007	000002	000009
000018 000002	000005	000003	000005	000005	000000	000002	000000
000019 000000	000001	000001	000003	000002	000001	000001	000002
000020 000001	000002	000003	000001	000000	000001	000000	000003
000021 000000	000001	000000	000002	000001	000002	000001	000000
000022 000001	000000	000000	000000	000000	000000	000000	000000
000023 000000	000000	000000	000000	000000	000000	000001	000000
000024 000000	000000	000000	000000	000000	000000	000000	000000
000025 000000	000000	000000	000000	000000	000000	000001	000000
000026 000001	000000	000000	000000	000000	000000	000000	000000
000027 000000	000002	000000	000000	000000	000000	000000	000000
000028 000000	000000	000000	000000	000000	000000	000000	000000
000029 000000	000001	000000	000000	000000	000000	000000	000000
000030 000000	000000	000000	000000	000000	000000	000000	000000
000031 000000	000000	000000	000002	000000	000000	000000	000000
000032 000000	000000	000000	000000	000000	000000	000000	000000
000033 000000	000000	000000	000000	000000	000000	000000	000001
000034 000000	000000	000000	000000	000000	000000	000000	000000
000035 000000	000000	000000	000000	000000	000000	000000	000000
000036 000000	000000	000000	000000	000001	000000	000000	000000
000037 000000	000000	000000	000000	000000	000000	000000	000000
000038 000000	000000	000000	000000	000000	000000	000000	000000
000039 000000	000000	000001	000000	000000	000000	000000	000000
000040 000000	000000	000000	000000	000000	000000	000000	000000
000041 000000	000000	000000	000000	000000	000000	000000	000000
000042 000001	000000	000000	000000	000000	000000	000000	000000
000043 000000	000000	000000	000000	000000	000000	000000	000000
000044 000000	000000	000000	000000	000000	000000	000000	000000
000045 000000	000000	000000	000000	000000	000000	000000	000000
000046 000000	000000	000000	000000	000000	000000	000000	000000
000047 000000	000000	000000	000000	000000	000000	000000	000000
000048 000000	000000	000000	000001	000000	000000	000000	000000
000049 000000	000000	000000	000000	000000	000000	000000	000000
000050 000000	000000	000000	000000	000000	000001	000000	000000
000051 000000	000000	000000	000000	000000	000000	000001	000000
000052 000000	000000	000000	000000	000000	000000	000000	000000
000053 000000	000000	000000	000000	000000	000000	000000	000000
000054 000000	000000	000000	000001	000000	000000	000000	000000
000055 000000	000000	000000	000001	000000	000000	000000	000000
000056 000000	000001	000000	000000	000000	000000	000000	000000
000057 000000	000000	000001	000000	000000	000000	000000	000000
000058 000000	000000	000000	000001	000000	000000	000000	000000
000059 000001	000000	000000	000000	000000	000000	000000	000000
000060 000000	000001	000000	000000	000000	000000	000000	000000
000061 000000	000000	000000	000000	000000	000000	000000	000000
000062 000000	000000	000000	000000	000000	000000	000000	000000
000063 000000	000000	000001	000000	000000	000000	000000	000000
000064 000000	000000	000000	000000	000000	000000	000000	000000
000065 000000	000000	000000	000000	000001	000000	000000	000000
000066 000000	000000	000001	000000	000000	000000	000000	000000
000067 000000	000000	000000	000000	000000	000000	000001	000000
000068 000000	000000	000000	000000	000000	000000	000000	000000
000069 000000	000000	000000	000000	000000	000001	000000	000000
