# /dev/cpu_dma_latency set to 0us
# Histogram
000000 000000	000000	000000	000000	000000	000000	000000	000000
000001 000000	000000	000000	000000	000000	000000	000000	000000
000002 000089	000016	000653	000081	000172	000069	000080	000173
000003 000346	001478	040704	000302	000236	000293	000221	000049
000004 000012	000515	004355	000006	000006	000010	000008	000004
000005 000001	000039	000157	000000	000001	000000	000000	000001
000006 000000	000004	000006	000000	000058	000000	000000	000000
000007 000006	000002	000116	000067	001612	000062	000016	000019
000008 019611	006173	081947	060785	107530	064672	046041	030875
000009 324270	240675	432658	415815	469802	417403	386583	347965
000010 532079	461048	616329	618084	661888	590828	558339	525069
000011 482065	496768	374342	446419	331003	424144	479260	411099
000012 220174	242225	142858	143397	115132	167456	180576	208069
000013 122029	170291	044503	041977	044225	060473	072123	140928
000014 041894	096218	020990	024414	021973	025340	028018	068495
000015 021651	039038	015617	018454	017170	018412	020059	027186
000016 015148	018744	010751	013271	012714	013349	013566	016340
000017 010292	012208	007502	009312	008931	009353	008186	011026
000018 005511	007483	003566	004552	004236	004487	003724	006300
000019 002589	003598	001427	001489	001427	001773	001290	003367
000020 000946	001949	000471	000522	000581	000606	000559	001723
000021 000403	000589	000259	000267	000345	000389	000317	000569
000022 000214	000241	000175	000167	000249	000244	000233	000237
000023 000090	000126	000061	000079	000118	000093	000126	000114
000024 000033	000042	000020	000022	000033	000023	000035	000046
000025 000024	000025	000016	000018	000018	000013	000015	000016
000026 000011	000015	000008	000013	000006	000011	000008	000015
000027 000007	000008	000011	000006	000005	000004	000009	000007
000028 000008	000004	000005	000000	000004	000008	000008	000009
000029 000004	000005	000004	000005	000005	000004	000002	000006
000030 000003	000013	000004	000004	000002	000003	000002	000001
000031 000008	000003	000003	000005	000002	000003	000007	000002
000032 000007	000002	000001	000005	000002	000005	000006	000004
000033 000004	000006	000008	000003	000004	000010	000004	000003
000034 000002	000003	000003	000000	000003	000003	000004	000000
000035 000005	000005	000001	000000	000001	000003	000000	000001
000036 000001	000001	000001	000002	000000	000000	000001	000001
000037 000000	000002	000002	000002	000000	000002	000001	000000
000038 000001	000001	000001	000002	000002	000000	000001	000000
000039 000002	000001	000001	000002	000001	000005	000002	000002
000040 000000	000001	000000	000001	000000	000000	000000	000001
000041 000003	000000	000001	000005	000001	000001	000001	000002
000042 000000	000000	000000	000004	000001	000001	000002	000000
000043 000001	000000	000000	000002	000001	000001	000000	000003
000044 000000	000002	000000	000002	000000	000003	000001	000001
000045 000001	000002	000001	000003	000002	000001	000000	000000
000046 000003	000004	000000	000001	000000	000000	000002	000000
000047 000003	000003	000000	000001	000003	000002	000000	000001
000048 000000	000000	000001	000000	000003	000000	000000	000000
000049 000000	000000	000001	000001	000004	000000	000000	000001
000050 000000	000001	000001	000000	000000	000000	000000	000000
000051 000001	000001	000001	000001	000000	000000	000001	000000
000052 000000	000000	000000	000000	000000	000002	000000	000001
000053 000000	000002	000000	000001	000000	000000	000000	000000
000054 000001	000001	000000	000001	000001	000002	000000	000000
000055 000001	000002	000000	000000	000000	000001	000000	000001
000056 000001	000001	000000	000001	000000	000000	000000	000000
000057 000001	000001	000000	000000	000000	000000	000000	000000
000058 000000	000000	000000	000000	000000	000000	000000	000000
000059 000001	000001	000000	000001	000000	000000	000000	000000
000060 000000	000001	000000	000001	000003	000000	000000	000000
000061 000000	000000	000000	000000	000000	000001	000001	000000
000062 000000	000001	000000	000000	000001	000000	000000	000000
000063 000000	000000	000000	000001	000000	000000	000000	000000
000064 000000	000001	000000	000001	000002	000000	000000	000000
000065 000000	000000	000000	000000	000000	000000	000000	000000
000066 000000	000000	000000	000001	000000	000000	000000	000000
000067 000000	000000	000000	000004	000000	000001	000000	000000
000068 000000	000000	000001	000001	000000	000000	000000	000000
000069 000000	000000	000001	000000	000000	000000	000000	000000
